participant_code,card_code,study_day,daily_review_index,first_ease,last_ease,last_scheduled_interval_days,next_gap_days,next_first_ease,scheduler_encoding
P01,C034,5,2,1,1,0.0069444444444444,0.8274395023148148,3.0,mixed
P01,C034,6,3,3,3,4.0,4.2325365625,3.0,mixed
P01,C035,2,1,1,3,1.0,1.2707658912037036,3.0,mixed
P01,C035,3,2,3,3,2.0,1.978068032407408,1.0,mixed
P01,C035,5,3,1,1,0.0069444444444444,0.8420910185185185,3.0,mixed
P01,C035,6,4,3,3,2.0,1.797027824074074,3.0,mixed
P01,C035,8,5,3,3,5.0,5.549358506944444,3.0,mixed
P01,C036,2,1,3,3,5.0,5.300500671296296,1.0,mixed
P01,C036,7,2,1,1,0.0069444444444444,0.5759465740740741,2.0,mixed
P01,C036,8,3,2,2,4.0,4.5126171875,1.0,mixed
P01,C036,12,4,1,1,0.0069444444444444,1.0717464236111112,1.0,mixed
P01,C037,2,1,2,3,2.0,2.2484090625,3.0,mixed
P01,C038,2,1,3,3,4.0,4.09084162037037,2.0,mixed
P01,C039,2,1,3,3,4.0,4.090319375,3.0,mixed
P01,C040,3,1,2,3,3.0,2.530358854166667,1.0,mixed
P01,C040,6,2,1,1,0.0069444444444444,1.212383912037037,3.0,mixed
P01,C040,7,3,3,3,4.0,3.933110543981481,3.0,mixed
P01,C041,3,1,1,3,1.0,0.7030780208333334,2.0,mixed
P01,C041,4,2,2,2,3.0,3.0408434606481483,1.0,mixed
P01,C041,7,3,1,1,0.0069444444444444,0.584306886574074,1.0,mixed
P01,C041,8,4,1,1,0.0069444444444444,1.2109696180555556,1.0,mixed
P01,C041,9,5,1,1,0.0069444444444444,1.225193738425926,2.0,mixed
P01,C041,10,6,2,2,1.0,0.9166745023148148,3.0,mixed
P01,C041,11,7,3,3,2.0,2.230314548611111,2.0,mixed
P01,C042,3,1,1,3,1.0,0.7118761458333334,3.0,mixed
P01,C042,4,2,3,3,6.0,6.04595255787037,1.0,mixed
P01,C042,10,3,1,1,0.0069444444444444,0.9058636226851852,3.0,mixed
P01,C042,11,4,3,3,3.0,3.359817337962963,3.0,mixed
P01,C043,3,1,3,3,4.0,3.7291350347222223,3.0,mixed
P01,C044,3,1,3,3,5.0,4.316875138888888,1.0,mixed
P01,C044,8,2,1,1,0.0069444444444444,1.212572604166667,3.0,mixed
P01,C044,9,3,3,3,4.0,4.362538599537038,1.0,mixed
P01,C045,3,1,3,3,5.0,4.312064386574074,3.0,mixed
P01,C046,3,1,1,3,1.0,0.6847221527777778,3.0,mixed
P01,C046,4,2,3,3,4.0,3.632465162037037,3.0,mixed
P01,C047,3,1,1,3,1.0,0.7023857523148148,1.0,mixed
P01,C047,4,2,1,1,0.0069444444444444,0.8020754050925927,3.0,mixed
P01,C047,5,3,3,3,2.0,2.230717743055556,3.0,mixed
P01,C047,7,4,3,3,6.0,6.162275347222222,2.0,mixed
P01,C048,3,1,3,3,2.0,1.694593912037037,3.0,mixed
P01,C048,5,2,3,3,9.0,9.319219652777775,3.0,mixed
P01,C049,3,1,3,3,5.0,4.317765717592592,2.0,mixed
P01,C050,3,1,2,3,2.0,1.4934799421296296,2.0,mixed
P01,C050,5,2,2,2,6.0,6.16033181712963,3.0,mixed
P01,C051,3,1,1,3,1.0,0.6577201851851852,3.0,mixed
P01,C051,4,2,3,3,3.0,3.066123391203704,3.0,mixed
P01,C052,3,1,1,3,1.0,0.6423781597222222,3.0,mixed
P01,C052,4,2,3,3,5.0,4.877614780092593,3.0,mixed
P01,C053,3,1,2,3,3.0,2.5155926157407404,1.0,mixed
P01,C053,6,2,1,1,0.0069444444444444,1.2096487962962963,2.0,mixed
P01,C053,7,3,2,2,2.0,1.7898675,3.0,mixed
P01,C054,3,1,3,3,4.0,3.734587569444445,3.0,mixed
P01,C055,3,1,3,3,5.0,4.311103611111111,3.0,mixed
P01,C056,3,1,1,3,1.0,0.7010147800925927,3.0,mixed
P01,C056,4,2,3,3,5.0,4.815261064814814,3.0,mixed
P01,C057,3,1,1,3,1.0,0.6348970949074074,2.0,mixed
P01,C057,4,2,2,2,2.0,1.8756133564814816,2.0,mixed
P01,C057,6,3,2,2,6.0,6.307985752314815,3.0,mixed
P01,C058,3,1,3,3,4.0,3.7258267708333337,3.0,mixed
P01,C059,3,1,2,3,2.0,1.6624250462962964,3.0,mixed
P01,C060,4,1,1,3,1.0,1.0004758912037035,3.0,mixed
P01,C060,5,2,3,3,2.0,2.0302041550925924,2.0,mixed
P01,C060,7,3,2,2,2.0,1.7945497453703705,3.0,mixed
P01,C061,4,1,3,3,5.0,4.866701875,1.0,mixed
